% Model:              AxialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 14 2014, 12:47
% Dimension:          2
% Nodes:              1031
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m)
49.79959522074166         3000                     3.773808772757662E-7
50                        3000                     9.610960183499514E-7
0                         3000                     6.706169257832576E-8
20.262590367308114        3000                     1.7670603432702158E-8
52.000000000000014        3000                     1.4412751107982222E-6
52.099999999999994        3000                     5.960775995349327E-7
55.1533063113609          3000                     19.439515532204886
55.253306311360895        3000                     4439066.492600565
58.4572875650347          3000                     25.423874462369763
58.5572875650347          3000                     4231774.607567138
61.9162530407954          3000                     4002205.034629834
62.01625304079541         3000                     23.689449008780077
65.5344368139341          3000                     24.293411693342378
65.63443681393407         3000                     3850239.023812395
69.3159812265738          3000                     3645750.529057245
69.41598122657379         3000                     22.09789627002111
73.2649197143729          3000                     20.408254302805407
73.36491971437287         3000                     3516471.9161665156
77.38515902441303         3000                     3333787.9385287273
77.485159024413           3000                     20.710095666115695
81.6804608651795          3000                     20.56916927723676
81.78046086517949         3000                     3224015.1612027166
86.1544230347219          3000                     19.72116177837891
86.2544230347219          3000                     3091949.0460100803
90.8104600782882          3000                     2936824.7625406194
90.9104600782882          3000                     20.157549991962817
95.6517835319383          3000                     18.73650109133977
95.75178353193829         3000                     2852974.8716571457
100.68138181381599        3000                     2713285.952331927
100.781381813816          3000                     17.53416787654347
105.90199982987303        3000                     2611388.5777639155
106.001999829873          3000                     16.960822862327063
111.316118365835          3000                     17.420380008529314
111.41611836583499        3000                     2547593.2262461297
116.92593334207199        3000                     2427547.109976856
117.02593334207201        3000                     16.784373920725823
122.73333501271799        3000                     2344877.7111410815
122.833335012718          3000                     15.994136849956123
128.739887194838          3000                     15.88391656085657
128.83988719483798        3000                     2298637.6721359915
134.94680661765898        3000                     15.61702746378443
135.046806617659          3000                     2226861.3278104053
141.354942485772          3000                     14.384323220079489
141.45494248577197        3000                     2160152.444682343
147.96475635380003        3000                     2065115.715433321
148.06475635380005        3000                     0
150                       3000                     0
150.94589563121627        3000                     0
49.35856015065792         3000                     2.8115454709698567E-7
48.838640858205274        3000                     1.3690441846847534E-7
48.428512036126115        3000                     2.5398312380485743E-7
46.725921140267374        3000                     2.768911448674532E-7
46.702686118950126        3000                     4.3213367462158203E-7
44.11346785005828         3000                     1.8969740057697915E-7
46.674822055813905        3000                     4.174985207951635E-7
36.61960574367133         3000                     5.967009246215726E-8
35.13050628349407         3000                     5.122274160385132E-8
34.605840423715435        3000                     4.185774373681141E-8
20.472862000221575        3000                     1.666000468656264E-8
23.960704035892082        3000                     1.2600849501541638E-8
151.90966501719114        3000                     0
153.123429964014          3000                     0
153.9271199142358         3000                     0
154.33632394586945        3000                     0
156.3023146876296         3000                     0
158.56535387389997        3000                     0
158.74649669425025        3000                     0
162.2202640980498         3000                     0
163.50521164821458        3000                     0
169.50889985843259        3000                     0
169.5304763497276         3000                     0
169.53576859441344        3000                     0
176.93672918308198        3000                     0
179.68140629832948        3000                     0
188.71638425012543        3000                     0
189.84218664401513        3000                     0
191.849696879202          3000                     0
200.06351788143425        3000                     0
204.36509866844872        3000                     0
498.0859854934563         3000                     0
500                       3000                     0
496.88608755692206        3000                     0
212.55579246017425        3000                     0
216.9814107960431         3000                     0
222.80861299185338        3000                     0
496.4256271426978         3000                     0
494.32778621556247        3000                     0
230.89670874101432        3000                     0
240.56793129659218        3000                     0
493.2684606694367         3000                     0
489.6491406067766         3000                     0
259.5088045552715         3000                     0
266.62708388722706        3000                     0
252.2362789660899         3000                     0
245.9984255196302         3000                     0
486.57994778880106        3000                     0
481.4821955493646         3000                     0
271.33556009956914        3000                     0
286.6799066213823         3000                     0
286.8220101305301         3000                     0
471.171087372523          3000                     0
477.56767726747665        3000                     0
464.667396849344          3000                     0
442.1967204804359         3000                     0
452.1639984508459         3000                     0
287.2591263982508         3000                     0
306.8875606036559         3000                     0
312.05128425142743        3000                     0
303.092915321822          3000                     0
326.2201880123085         3000                     0
335.99119895894495        3000                     0
432.5820985026725         3000                     0
418.7348576669674         3000                     0
392.0203760595263         3000                     0
406.4383203496551         3000                     0
369.6781498797582         3000                     0
381.3571359846891         3000                     0
358.19818580492444        3000                     0
347.36869715397233        3000                     0
412.5458175854466         3000                     0
52.28325431004403         3000                     4653461.61074399
50.10010124069705         3000                     5.057621821307283E-7
105.80520951112753        3000                     2613777.97144174
134.87960284931037        3000                     2195708.3726452757
141.24590780589867        3000                     2129127.394047334
149.49296425239953        3000                     1.9601457325216086E-14
53.797284603299595        3000                     4522490.765559058
53.81977504413595         3000                     4520597.539752054
53.784615429628204        3000                     4523541.409451485
53.51224352797633         3000                     4546565.3271531705
53.55768300423393         3000                     4542725.100282145
53.509682998155924        3000                     4546791.39624019
54.033121498012164        3000                     4502742.091887408
54.15341764746086         3000                     4492754.815082644
54.2249761586319          3000                     4486819.883157965
54.33466965169914         3000                     4477764.488298957
57.33974254429562         3000                     4277546.962655444
57.35544550947526         3000                     4276369.304079499
57.12010319754758         3000                     4293987.007970782
57.26218106906965         3000                     4283347.949387526
57.384029270793995        3000                     4274245.691285574
53.30311280696683         3000                     4564415.158583136
53.47439139114712         3000                     4549802.703331006
51.347817443681876        3000                     3.242843272384511E-6
51.48854214240363         3000                     3.724217260316207E-6
51.33710808705028         3000                     3.7031709115526835E-6
54.37794452873588         3000                     4474202.777321355
54.47026127667965         3000                     4466616.803288573
57.08173243213302         3000                     4296878.103421596
56.922193096146316        3000                     4308922.179716559
51.3187301102275          3000                     2.081900739261267E-6
51.168829922764964        3000                     3.198720899820027E-6
51.086361701835855        3000                     3.390660918552373E-6
57.5517987610318          3000                     4261782.433141955
57.70106649971887         3000                     4250759.801744308
53.11172030889679         3000                     4580862.369875812
53.276444668961034        3000                     4566706.88707964
51.620604685641354        3000                     4.554980558047962E-6
51.62416257732015         3000                     5.057621821307284E-6
53.024155284110336        3000                     4588426.577868212
54.60614343686254         3000                     4455502.114028148
54.61549639709644         3000                     4454736.4135328615
56.748331880558666        3000                     4322128.290464246
56.680004953420465        3000                     4327333.896118048
50.91156078202502         3000                     4.915124923727108E-7
51.00641493365871         3000                     2.0230487285229133E-6
60.53804718701528         3000                     4093307.431001486
60.576330247979016        3000                     4090733.2744353893
57.714099365826826        3000                     4249798.170749645
57.731894954860344        3000                     4248491.9145980645
57.85641670541449         3000                     4239345.801192146
60.47327041962531         3000                     4097706.87055068
60.281120496466485        3000                     4110756.188103666
52.79462674173427         3000                     4608384.289975884
51.62995244434886         3000                     6.778177726664305E-6
51.74913886753379         3000                     5.7220458984375E-6
52.750267058983795        3000                     4612249.284990294
54.62326909140694         3000                     4454105.087330308
54.75330993109792         3000                     4443527.567692254
56.43824557235742         3000                     4345871.140964299
56.46613797414522         3000                     4343719.531698874
63.93193349670255         3000                     3912790.737255313
64.00223918960141         3000                     3908491.504811818
64.15227624013102         3000                     3899350.4465667256
50.77515702699221         3000                     8.642673492431641E-7
50.72770815546389         3000                     5.960464477539062E-7
60.78185183295326         3000                     4076893.828275057
60.82423531979734         3000                     4074059.1037149173
63.71300706217378         3000                     3926233.444094298
63.7944591256539          3000                     3921225.207722153
57.96349834836094         3000                     4231516.957012521
57.9873891190622          3000                     4229770.128733474
60.02647345068287         3000                     4128197.063586868
60.096586689400816        3000                     4123392.094185116
59.97189556384326         3000                     4131963.8669267423
52.700512485234086        3000                     4616618.713789055
52.54263038746652         3000                     4630477.742643339
51.81105331931349         3000                     9.5367431640625E-7
51.87061407941928         3000                     5.545554776766418E-7
54.81790171573571         3000                     4438293.123786453
54.91126079125485         3000                     4430746.38870677
56.12553124364596         3000                     4370068.038510841
56.11482515296246         3000                     4370895.141351238
56.11395173347434         3000                     4370981.313379052
64.2276816992653          3000                     3894773.923544006
64.34227423160162         3000                     3887836.7702970933
50.6980974659525          3000                     2.524768606860399E-6
50.56441420301882         3000                     3.015782985847835E-6
50.50960969972803         3000                     2.770814728538861E-6
61.0385030735433          3000                     4059758.1959652216
61.069381810885695        3000                     4057702.871786412
61.104078501442736        3000                     4055402.3259050967
63.53752259066529         3000                     3937078.3030932797
63.48902841422241         3000                     3940084.4152010623
58.004618661196936        3000                     4228516.847630262
58.1142985466163          3000                     4220534.551967175
59.77785224039799         3000                     4145369.706995321
59.67235852011236         3000                     4152706.437684026
52.4152229396727          3000                     4641748.973942928
52.343786811821246        3000                     4648067.05093716
54.96686530167173         3000                     4426265.960519063
55.037897600413544        3000                     4420550.015222144
56.11268438766386         3000                     4371076.115306143
55.87984453602865         3000                     4389294.665112721
55.757004626432234        3000                     4398971.932435644
64.43862680840161         3000                     3882023.8904331415
64.53694023749198         3000                     3876107.233897561
67.58523018799121         3000                     3739114.440995484
67.74118383461136         3000                     3730500.1644227053
67.54062499126407         3000                     3741577.688683483
50.44325401079666         3000                     2.291886272321943E-6
50.33226069465753         3000                     2.6973983046972182E-6
61.26129895716967         3000                     4044989.1567537445
61.30368308343414         3000                     4042196.6330568283
61.36270903570599         3000                     4038311.2041874644
63.25820075897728         3000                     3954457.1143736276
63.25626895617427         3000                     3954581.6404007273
63.25336675123372         3000                     3954762.0072797267
