% Model:              NoFoilsFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 19 2014, 20:01
% Dimension:          2
% Nodes:              291
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
0                         3025                     -4.0978193283081055E-8   -2.9802322387695312E-8   5.0669426131007984E-8    275000
0.3541919886970735        3025                     -1.4901161193847656E-8   7.450580596923828E-9     1.666000468656264E-8     275000.00000000006
49.86046097008812         3025                     3.5762786865234375E-7    1.1920928955078125E-7    3.769728732309794E-7     274999.99999999994
50                        3025                     3847454.137537658        -1.191663624349076E-7    3847454.137537658        275000
150                       3025                     2.790400729298465E7      -5.5361336977178544E7    6.199605838202665E7      0
150.12414847483967        3025                     -3.0012414464203582E-5   -2.6954919006463535E7    2.6954919006463535E7     -5.918687593715428E-9
150.26120415977815        3025                     344494.16426198184       -1.9455862532850605E7    1.9458912177364655E7     8.847829219166955E-9
150.41250560852407        3025                     104415.41582568921       -1.5953280519151047E7    1.5953622218850061E7     0
150.57950522916565        3025                     39625.669715400785       -1.376173452007434E7     1.376179156922187E7      0
150.76380020407635        3025                     19118.319259721786       -1.2196747243159965E7    1.2196762227069179E7     0
150.96718163160475        3025                     10699.014752048999       -1.0993669389854858E7    1.099367459598238E7      0
151.19162619649688        3025                     6586.969330385327        -1.0023097540279772E7    1.0023099704688534E7     0
151.43931529812696        3025                     4771.7570703411475       -9214294.206865378       9214295.442427402        0
151.7126562517001         3025                     3557.7317189611495       -8523281.311471315       8523282.053993706        0
152.01430568514672        3025                     2791.0058656623587       -7921749.715720543       7921750.207386765        -3.6022068256675223E-9
152.3471953591053         3025                     2262.507197264582        -7390160.284802625       7390160.631137379        8.093152899721643E-15
152.71456066093833        3025                     1879.3615278275684       -6914668.896477577       6914669.151876624        0
153.11997204971703        3025                     1593.541295312345        -6485102.138537277       6485102.33432246         2.9493484942885337E-9
153.5673697577912         3025                     1370.819956210442        -6093779.577196697       6093779.731382396        0
154.06110208620842        3025                     1192.4440543428063       -5734773.210043418       5734773.334017179        4.091757624714595E-13
154.605967666181          3025                     1050.4700348908082       -5403429.161427975       5403429.26353788         0
155.20726209733849        3025                     938.1547633102164        -5096023.0999952145      5096023.186350235        0
155.87082941604947        3025                     844.8186437273398        -4809538.175212077       4809538.249410316        3.914145145237507E-15
156.6031188940313         3025                     -5.011161104577455E-6    -4541018.583059077       4541018.583059077        -2.974976940006982E-10
157.41124771928068        3025                     4.271863327426275E-6     -4289389.981766564       4289389.981766564        0
158.30307016852052        3025                     -1.6159902683888675E-6   -4052402.9522783216      4052402.9522783216       3.800085247950351E-9
159.28725394345557        3025                     1.5654371568656043E-6    -3828594.902521647       3828594.902521647        0
160.3733644127517         3025                     4.2179270490639993E-8    -3616718.5601840196      3616718.5601840196       9.124339518669955E-10
161.57195757848993        3025                     505.70336081366986       -3416015.16248508        3416015.1999169816       0
162.8946826706408         3025                     471.592083344236         -3224914.4908560007      3224914.5253373943       0
164.3543953666796         3025                     441.76140237459913       -3042947.460684656       3042947.492751121        0
165.96528273672715        3025                     415.60033006453887       -2869412.8528908235      2869412.882988206        0
167.74300112856443        3025                     392.25477713765576       -2703696.570922093       2703696.599376434        -1.2290656494099572E-9
169.70483138990284        3025                     371.21813143091276       -2545260.6264140652      2545260.6534845545       0
171.86983640510346        3025                     351.1392368339002        -2393632.7605271544      2393632.7862827266       0
174.2590591385189         3025                     -1.899811646019426E-6    -2248191.964973272       2248191.964973272        -2.7811063212431314E-10
176.89572068230999        3025                     316.7500235796906        -2109188.2900109347      2109188.3137951028       0
179.80544693013735        3025                     301.3999655181542        -1975685.0862928196      1975685.1092828042       0
183.01651770770198        3025                     286.92010369501077       -1847605.6597681649      1847605.6820464972       0
186.56014233822916        3025                     273.38038312247954       -1724702.4876123911      1724702.5092789782       -6.945377698934388E-13
190.47076202562528        3025                     260.80972811975516       -1606758.7292003236      1606758.7503676938       0
194.78638200416032        3025                     249.14413174218498       -1493586.083388702       1493586.104168488        0
199.54894706994162        3025                     238.61085561616346       -1385018.4953854596      1385018.5159393873       0
204.80474559605668        3025                     9.806288293760288E-8     -1280769.361986866       1280769.361986866        0
210.6048591245039         3025                     220.2792806661455        -1181133.3932224344      1181133.4137632817       0
217.00565723840924        3025                     0                        -1085701.545769043       1085701.545769043        0
224.06935170332991        3025                     203.16545155807398       -994122.4412932147       994122.4620533336        0
231.86459402084475        3025                     194.75140046223532       -906686.4421833111       906686.4630990907        0
240.4671460159328         3025                     185.994283687789         -823170.0686888872       823170.0897014788        -5.119628135215456E-13
249.96061737370076        3025                     0                        -743586.1228723318       743586.1228723318        0
260.43727428273644        3025                     170.35591622372158       -667511.1481735301       667511.169911847         0
271.9989401781952         3025                     172.5098780069966        -595167.7693365724       595167.7943376384        0
284.7579839775014         3025                     1.6596590771904276E-8    -526216.4887808892       526216.4887808892        0
298.8384097664157         3025                     1.3167637673863896E-8    -460734.9068701382       460734.9068701382        0
314.3770664191896         3025                     -3.135456680680344E-8    -398454.49395092943      398454.49395092943       -4.599945704645979E-11
331.5249743852051         3025                     177.79743383656023       -339298.39583445725      339298.44241871126       -3.6530451973165664E-13
350.4487944451126         3025                     185.14616771944566       -282833.202998344        282833.2635978411        0
371.3324474808353         3025                     188.80911220912822       -228897.17738579033      228897.2552567261        0
394.37890207555597        3025                     164.4211397539184        -177171.04154795012      177171.1178423184        0
447.57246152640323        3025                     -33.02592819200072       -79054.90357538883       79054.91047383432        0
474.8853347141675         3025                     -145.7409328744834       -36371.81254065962       36372.10452960345        -1.1871496926342132E-14
419.8121471779027         3025                     86.7859477760212         -127230.31301091511      127230.34260999286       0
500                       3025                     -222.65962607499023      0                        222.65962607499023       0
20.688766947633173        3025                     0                        -2.0489096641540527E-8   2.0489096641540527E-8    275000
21.896118196521147        3025                     4.470348358154297E-8     4.470348358154297E-8     6.322027276634104E-8     274999.99999999994
18.664987491757984        3025                     2.9802322387695312E-8    -1.341104507446289E-7    1.3738191809196602E-7    275000
22.61471217934309         3025                     9.499490261077881E-8     -8.195638656616211E-8    1.2546266704089128E-7    275000
23.920308652162923        3025                     -1.4901161193847656E-8   -5.21540641784668E-8     5.4241045484546706E-8    274999.99999999994
18.20856989607604         3025                     -2.2351741790771484E-8   -1.1920928955078125E-7   1.2128666487410446E-7    274999.99999999994
17.528025399008726        3025                     2.2351741790771484E-8    -1.4901161193847656E-8   2.6863450374185958E-8    275000
15.5086822300201          3025                     -2.9802322387695312E-8   -7.450580596923828E-9    3.0719530773294423E-8    275000
25.213496422308452        3025                     2.9802322387695312E-8    -1.4901161193847656E-8   3.332000937312528E-8     275000
26.13367656386549         3025                     -2.9802322387695312E-8   7.82310962677002E-8      8.371548747362283E-8     274999.99999999994
14.269976293031775        3025                     2.9802322387695312E-8    5.4016709327697754E-8    6.169265196352898E-8     274999.99999999994
12.430615611457672        3025                     -4.0978193283081055E-8   -1.4901161193847656E-8   4.360340502381185E-8     275000
27.17156177442353         3025                     -4.470348358154297E-8    -3.166496753692627E-8    5.478203732465484E-8     275000
28.275617641025068        3025                     -5.9604644775390625E-8   3.3527612686157227E-8    6.83872392426648E-8      274999.99999999994
9.031362322313417         3025                     1.4901161193847656E-7    1.1920928955078125E-7    1.9082797281243946E-7    275000.00000000006
9.735487046141856         3025                     5.21540641784668E-8      0                        5.21540641784668E-8      275000
8.71641004376383          3025                     -5.9604644775390625E-8   -3.725290298461914E-8    7.028863677424642E-8     275000
29.717386138012206        3025                     2.9802322387695312E-8    2.9802322387695312E-8    4.2146848510894035E-8    275000
29.7502741555506          3025                     5.9604644775390625E-8    -1.4901161193847656E-8   6.143906154658885E-8     274999.99999999994
5.3727903005552236        3025                     2.9802322387695312E-8    7.450580596923828E-9     3.0719530773294423E-8    274999.99999999994
8.048930705651363         3025                     0                        -3.91155481338501E-8     3.91155481338501E-8      275000
3.934024931667233         3025                     0                        -1.1175870895385742E-8   1.1175870895385742E-8    275000
31.413976452698492        3025                     2.9802322387695312E-8    -1.1920928955078125E-7   1.228781230931777E-7     275000
31.573512456791438        3025                     -3.725290298461914E-8    -1.7881393432617188E-7   1.82653228523303E-7      275000.00000000006
31.8647649868772          3025                     0                        2.9802322387695312E-8    2.9802322387695312E-8    274999.99999999994
33.29036450094683         3025                     4.470348358154297E-8     2.9802322387695312E-8    5.3726900748371916E-8    274999.9999999998
34.60401486879989         3025                     -1.1920928955078125E-7   -1.1920928955078125E-7   1.6858739404357614E-7    274999.99999999994
34.98246130203531         3025                     2.086162567138672E-7     3.725290298461914E-8     2.119163074095233E-7     274999.99999999994
36.24634747633462         3025                     1.4901161193847656E-8    -1.4901161193847656E-7   1.4975481660844222E-7    274999.99999999994
