% Model:              NoFoilsFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 19 2014, 20:01
% Dimension:          2
% Nodes:              274
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
0                         2975                     4.470348358154297E-8     -2.9802322387695312E-8   5.3726900748371916E-8    275000
0.2375847285206095        2975                     4.470348358154297E-8     2.9802322387695312E-8    5.3726900748371916E-8    275000
49.76823849118166         2975                     -2.384185791015625E-7    0                        2.384185791015625E-7     275000
50                        2975                     4002813.1482080817       -2.730236492647625E-7    4002813.1482080817       274999.99999999994
150                       2975                     1.968963218401629E7      3.2216745418683004E7     3.775712251899081E7      0
150.12414847483973        2975                     610402.7326244172        1.6359241485381013E7     1.6370625323212504E7     -7.421767365349688E-9
150.26120415977817        2975                     -1.2851699104619399E-5   1.2440741542320365E7     1.2440741542320365E7     -6.281814873427057E-9
150.41250560852401        2975                     43083.32573894784        1.0383889421745267E7     1.0383978798899293E7     -4.721910239899585E-9
150.57950522916568        2975                     20147.219603631645       9097790.048819821        9097812.356982458        -4.137425110614078E-9
150.76380020407632        2975                     10787.306018530391       8161920.6944462          8161927.823033004        -3.711415017371368E-9
150.9671816316047         2975                     6271.709933590144        7432137.605663708        7432140.251896904        -3.3798218814877692E-9
151.19162619649688        2975                     3925.3129483424127       6836561.608689722        6836562.735577867        -3.108929605450571E-9
151.43931529812698        2975                     2800.10399583634         6334910.843854032        6334911.462693208        -2.8811014310361333E-9
151.7126562517001         2975                     2048.3983573252335       5902057.918497209        5902058.2739609955       -2.6840720628613525E-9
152.0143056851467         2975                     1589.2339080702513       5521731.232134484        5521731.460836702        -2.51075930761211E-9
152.34719535910534        2975                     1298.431774747558        5182666.948968381        5182667.111618717        -2.356760731140153E-9
152.7145606609383         2975                     1086.4163850084879       4876811.226590161        4876811.347601668        -2.217951561803786E-9
153.11997204971703        2975                     926.5679103415459        4598249.788594563        4598249.881948352        -2.0908706864844243E-9
153.5673697577912         2975                     802.8425429845229        4342502.567088535        4342502.64130336         -1.9745604105602985E-9
154.0611020862084         2975                     705.0720868087374        4106103.4952192074       4106103.555754292        -1.867373020280186E-9
