% Model:              NoFoilsFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 12 2014, 16:31
% Dimension:          2
% Nodes:              19
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m)
0                         3000                     1.862645149230957E-9
50                        3000                     3.636930918277546E-9
203.12983683971188        3000                     3.3087224502121107E-22
232.5222373386201         3000                     7.229558553713462E-22
262.0036898180964         3000                     3.1846453583291565E-23
293.2577883758487         3000                     3.432799542095065E-23
324.5974710211173         3000                     1.41654679899706E-22
355.9791709352119         3000                     1.2407709188295415E-22
150                       3000                     1.0955738691439035E-8
176.56491841985596        3000                     8.254480096429776E-9
387.1922554416057         3000                     0
416.7040414368752         3000                     3.040266680985395E-9
446.37045076173547        3000                     4.341481623707254E-9
473.18522538086785        3000                     0
500                       3000                     4.341461879894843E-9
126.92128597236719        3000                     2441845.514627133
76.41635506435806         3000                     2872103.4713108377
119.26148654786653        3000                     2389876.194648866
93.12073889903115         3000                     2434488.963655435
