% Model:              NoGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 12 2014, 15:18
% Dimension:          2
% Nodes:              1634
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m)
49.87428933235456         3879.62                  1.690493885388641E-6
50                        3879.62                  2.507981510617175E-6
0                         3879.62                  2.868473529815674E-7
11.401081428627565        3879.62                  5.78320573876054E-8
49.58485802576867         3879.62                  5.495276723678641E-7
49.28644314347146         3879.62                  7.748603820800781E-7
49.18428723126202         3879.62                  5.870376707193913E-7
48.8196856881374          3879.62                  7.822754829172306E-7
48.59002926079877         3879.62                  9.078709013299833E-7
48.1358508057527          3879.62                  6.181737337318522E-7
47.59927412367328         3879.62                  4.2146848510894033E-7
46.92155208677961         3879.62                  4.2258652783892253E-7
46.007710519359975        3879.62                  7.580416554631528E-8
43.08917915731937         3879.62                  8.940696716308594E-8
43.48008843929937         3879.62                  3.8807441720680647E-7
42.98830988598897         3879.62                  5.774199962615967E-8
42.450860605520276        3879.62                  2.4643999045193135E-7
39.73012953723628         3879.62                  1.9709083042041974E-7
36.190227883882514        3879.62                  8.204100856760606E-8
39.369480473549174        3879.62                  1.4042911548145685E-7
29.701231195272396        3879.62                  7.11715712194994E-8
32.69167123845205         3879.62                  4.8321194093945796E-8
27.674054164454724        3879.62                  4.789751347386759E-8
22.276891069600772        3879.62                  5.538042168065349E-8
17.05173146897737         3879.62                  8.271486800601526E-8
50.103747361596554        3879.62                  2089083.207600807
149.99913053887008        3879.62                  4278341.810123479
149.99999999999997        3879.62                  5011174.812876802
79.31091676810956         3879.62                  3342237.873979802
79.42455243941268         3879.62                  3343780.1787073286
79.44859802501783         3879.62                  3344076.727066614
79.4948188953836          3879.62                  3344569.3527683727
79.59326795663137         3879.62                  3345274.8244485306
79.61940589639755         3879.62                  3345272.6566727255
79.1652998918818          3879.62                  3338939.154346442
79.15831419246105         3879.62                  3338598.5158021194
79.15392761283722         3879.62                  3338715.2978034914
79.6985405627283          3879.62                  3344595.2127846554
79.75490440376544         3879.62                  3343798.152925664
78.97493092847598         3879.62                  3333918.0498108366
78.95905853238796         3879.62                  3333374.178474885
79.7762369663875          3879.62                  3343374.2622261653
79.89623938203678         3879.62                  3340448.3801680007
78.75226298680397         3879.62                  3326767.789017663
78.75409135514982         3879.62                  3326461.3080578386
78.75601900299326         3879.62                  3327044.880926109
76.50594600180915         3879.62                  3320352.165150778
76.55925139146092         3879.62                  3314877.431047439
76.63575588953147         3879.62                  3309403.10426396
76.82564653412665         3879.62                  3298372.1898723976
76.89520133406012         3879.62                  3295230.3696771823
78.48353946079447         3879.62                  3318077.0044375653
78.45658009353296         3879.62                  3316848.481631823
78.47351472761748         3879.62                  3317755.2849487336
78.47806208197319         3879.62                  3317343.9737414364
77.07446754269434         3879.62                  3290075.500352144
77.12579199976446         3879.62                  3290820.7651252965
77.18849036561889         3879.62                  3289913.937993686
77.35633659729373         3879.62                  3288883.4444150473
77.518384900282           3879.62                  3291361.6689058607
76.3758310849386          3879.62                  3332433.740403941
76.23607138102722         3879.62                  3350630.644795775
79.91538248284742         3879.62                  3339694.7739107613
80.01315650200668         3879.62                  3335621.6819127905
84.7128116272808          3879.62                  3219748.521824755
84.73438194220189         3879.62                  3219117.0062943376
84.62760884034394         3879.62                  3220477.7470033774
84.79315047138316         3879.62                  3217824.8078003693
84.82335229596193         3879.62                  3217074.7106397417
76.73345406939717         3879.62                  3302112.6725631156
78.0281975093282          3879.62                  3303968.8890524455
78.08103670649938         3879.62                  3304994.765446594
77.99346793511091         3879.62                  3301980.227047637
78.23181182991236         3879.62                  3309710.881668071
77.60896987634672         3879.62                  3293255.5747133303
77.78642895370616         3879.62                  3296734.618211803
77.56521738079725         3879.62                  3291634.8317111135
76.21255956055738         3879.62                  3353725.2739952127
76.17543467355945         3879.62                  3358769.3700823537
76.06258615176812         3879.62                  3373995.274505963
80.03138112986898         3879.62                  3334680.525244462
80.1148627027482          3879.62                  3329818.4230819196
80.14570621708808         3879.62                  3327475.085150869
84.60022468472374         3879.62                  3220109.503644471
84.53230103262474         3879.62                  3220122.5917574256
80.19453250549213         3879.62                  3324037.258217071
80.24677216515849         3879.62                  3319205.814937955
84.8678810667877          3879.62                  3215002.513722252
84.9200417314334          3879.62                  3213024.779041062
84.93378815240834         3879.62                  3212003.6869803052
75.98610880645708         3879.62                  3386403.6426187693
75.90377047421251         3879.62                  3397477.3477457566
70.62936610545982         3879.62                  3632627.4266946036
70.73760054259677         3879.62                  3621547.1310253167
70.73820025534395         3879.62                  3621581.0446065897
70.5290999898166          3879.62                  3641930.962678836
70.61460254118289         3879.62                  3633879.4869076805
80.28891279742139         3879.62                  3315213.7099358076
80.31605984124911         3879.62                  3312352.8081753156
84.43628889487778         3879.62                  3218348.4407043997
84.41655814202196         3879.62                  3218220.771641779
80.37027324623047         3879.62                  3306427.288906577
85.0340660714977          3879.62                  3205567.9797367263
85.05566301557373         3879.62                  3203577.0838063313
65.92040530873209         3879.62                  3823223.072506706
65.97630270402718         3879.62                  3818024.6067970023
65.8786723587047          3879.62                  3827269.5360175953
75.75237116393953         3879.62                  3420383.06874788
75.79639119295683         3879.62                  3413340.1991864503
70.73898104548861         3879.62                  3621285.4334135596
70.84148980460759         3879.62                  3609961.405773627
70.90984399180543         3879.62                  3601902.0476807603
66.02437958202181         3879.62                  3813190.9044823367
66.07366747123025         3879.62                  3808606.7987222504
70.49653807781156         3879.62                  3644875.7897733944
70.41056965049795         3879.62                  3651750.0539131793
70.40026963420229         3879.62                  3652441.911310389
70.32234692020734         3879.62                  3658353.4024060974
80.40542988720284         3879.62                  3302233.8158829333
84.30319675599549         3879.62                  3214642.903084453
84.39689720273822         3879.62                  3217338.2486023735
80.45180935353902         3879.62                  3296340.5011656717
85.1509702140284          3879.62                  3194642.1097323615
85.15392748059352         3879.62                  3194292.8105646735
65.77686738387614         3879.62                  3836941.568781986
65.82268907004055         3879.62                  3832609.3866484324
65.74582472062784         3879.62                  3839715.0853008754
75.71087141565836         3879.62                  3425524.8199959686
75.61097297242839         3879.62                  3438009.9854144864
70.91082701504882         3879.62                  3601738.7986571076
70.92889158742952         3879.62                  3599557.151169398
70.97981384790135         3879.62                  3593427.497387112
66.11034298869323         3879.62                  3804944.549649026
66.14238353443665         3879.62                  3801930.202996676
66.2050536999869          3879.62                  3796164.4549004342
70.27338891206044         3879.62                  3661766.7156119496
70.1828911012788          3879.62                  3667193.5904841633
80.51007812872096         3879.62                  3288188.069895522
80.54285149734967         3879.62                  3283829.8895203387
84.25007343109493         3879.62                  3213207.6921577556
84.16316520977573         3879.62                  3209371.868761559
89.54310005845059         3879.62                  3122659.0134924236
89.59155164208552         3879.62                  3122669.646095788
89.63775537355482         3879.62                  3121597.709977372
89.68530576788875         3879.62                  3120926.6253700512
89.47909898105159         3879.62                  3122861.61002082
89.3923431931022          3879.62                  3120778.4465149264
89.36158481181944         3879.62                  3119495.007366897
89.34521379680137         3879.62                  3119830.688838971
85.16035950738227         3879.62                  3193443.660141157
85.24413756081212         3879.62                  3183284.1611319054
85.29418712189319         3879.62                  3176656.8406213447
65.6528080307336          3879.62                  3848263.1299433527
65.68681461841454         3879.62                  3845079.2670562505
75.49357795490067         3879.62                  3451225.8569674036
75.4614445514095          3879.62                  3454320.1805614093
70.98215429402038         3879.62                  3593074.6734522665
71.04702557068613         3879.62                  3585313.876820566
66.23610062510336         3879.62                  3793137.9412001856
66.28479686222305         3879.62                  3788812.376295913
66.32572372217693         3879.62                  3785253.9304227782
70.16158633228342         3879.62                  3668581.51139733
70.06993131003752         3879.62                  3673629.8150656456
80.58938477405067         3879.62                  3276396.27876467
80.6236002186998          3879.62                  3271011.8207002142
84.09096074870052         3879.62                  3206724.4203432263
84.01089530623973         3879.62                  3202418.296744328
94.47384241447593         3879.62                  3050553.07678651
94.55452658058725         3879.62                  3048466.4339316855
94.44105031475064         3879.62                  3050310.435360936
94.36552195362697         3879.62                  3050043.6159241186
89.76064534903865         3879.62                  3117812.466482343
89.77743377250408         3879.62                  3116702.7111496883
89.15666563117551         3879.62                  3111364.722756663
89.18548483870052         3879.62                  3112854.4178809575
89.20566412607386         3879.62                  3113550.674094805
85.34411847097915         3879.62                  3169254.8450823193
85.39517505713533         3879.62                  3160971.441858983
85.44571485085625         3879.62                  3153272.488016869
85.50706633684558         3879.62                  3141648.9815569627
65.59555361440947         3879.62                  3853086.5419983645
65.5316176248769          3879.62                  3858595.0527981413
65.49152944890254         3879.62                  3862010.645807996
75.29532764284815         3879.62                  3469253.00144055
75.2727988206387          3879.62                  3470853.9950788007
71.1028330430863          3879.62                  3578133.8522479725
71.14855338577436         3879.62                  3572387.088638705
71.21263556794445         3879.62                  3564846.4010185893
66.37669604810841         3879.62                  3780975.617436467
66.41620148102903         3879.62                  3777816.650340822
70.02395894519353         3879.62                  3675914.9954864993
69.93442758045137         3879.62                  3679948.0886268253
80.64015659459452         3879.62                  3268123.0424205274
80.72542680678474         3879.62                  3254389.3215841744
83.8650941540368          3879.62                  3195290.2788607017
83.95338794833668         3879.62                  3199995.9504634584
94.58123825101383         3879.62                  3048048.9761421173
94.6736913076736          3879.62                  3042868.305403141
94.33493357451246         3879.62                  3049328.428519081
94.29040219028056         3879.62                  3047843.112666818
94.23834273988928         3879.62                  3046615.247906071
89.81619864310835         3879.62                  3114567.8639688166
89.89143642029366         3879.62                  3108796.7832061383
88.93818175743921         3879.62                  3098382.2434746525
89.0017627096832          3879.62                  3102470.684608157
89.05711393000828         3879.62                  3106156.836691411
85.51597542559006         3879.62                  3140132.994396417
85.57277683243927         3879.62                  3129393.130796981
65.41487785761392         3879.62                  3868136.9226269363
65.36977821664766         3879.62                  3871802.9874266307
61.17030248920685         3879.62                  4036013.732531465
61.24278594432292         3879.62                  4031612.368277558
75.09357386818424         3879.62                  3483696.053922564
75.02583373957498         3879.62                  3486066.771986686
71.25523481562746         3879.62                  3559638.202672323
71.29367517627485         3879.62                  3554988.4068454765
71.35593517297833         3879.62                  3547764.4099405506
66.43910760591757         3879.62                  3775761.983503612
66.52103876959382         3879.62                  3769746.936995428
69.90982180477583         3879.62                  3681026.654020536
69.82931561671093         3879.62                  3684415.193943946
66.55236796805013         3879.62                  3767418.3406178183
66.61764552543809         3879.62                  3763047.083889737
66.69124598422505         3879.62                  3758659.87371717
66.69580999169757         3879.62                  3758488.2494658357
80.7600884246934          3879.62                  3247726.538978336
80.84640609257191         3879.62                  3233022.020669799
83.72407857617245         3879.62                  3187971.4011889887
83.72131399850129         3879.62                  3187849.817192283
94.69985983202663         3879.62                  3041282.0710465163
94.78003063189534         3879.62                  3034783.9298853567
94.12851392682289         3879.62                  3041143.1365423966
94.1465680625841          3879.62                  3041786.8423439777
94.10435087641591         3879.62                  3039539.41525833
89.91646356407371         3879.62                  3107359.0629183077
89.97610611064464         3879.62                  3100842.4562305133
90.00458824754091         3879.62                  3098093.544199728
88.80242833928673         3879.62                  3088289.7807171713
88.8848054986676          3879.62                  3094756.6025547767
88.75261796187885         3879.62                  3085175.4184259735
88.91675505060508         3879.62                  3096933.929056042
85.61575729104706         3879.62                  3121381.0375794
85.67075618722849         3879.62                  3109723.040022622
61.10707179864512         3879.62                  4040301.455415403
61.07359385529344         3879.62                  4042558.514260728
65.2670916577785          3879.62                  3879507.6281212135
65.2430340387277          3879.62                  3881352.258143185
61.2442824403697          3879.62                  4031507.6251358576
61.24637107787276         3879.62                  4031429.266464167
61.32317669726899         3879.62                  4027190.609940998
74.89997082006728         3879.62                  3491527.649877649
74.77491758970629         3879.62                  3495149.4579187282
71.43831549832885         3879.62                  3538958.044920095
71.45437313451437         3879.62                  3537429.465739295
69.6780797025661          3879.62                  3689880.6373304096
69.76203533653344         3879.62                  3686749.1469799886
66.69866893869066         3879.62                  3758333.7152119307
66.78334954308599         3879.62                  3753718.182589912
80.88690169106621         3879.62                  3225215.177266212
80.94576792658987         3879.62                  3215346.4754138812
83.57446933113377         3879.62                  3179384.502117709
83.71795504451514         3879.62                  3187259.970602328
99.07081214943994         3879.62                  2997660.1691342616
99.09854660421797         3879.62                  2999450.1054883436
99.18102443889735         3879.62                  3003448.290840046
94.8179415490145          3879.62                  3030199.496330168
94.87241855087449         3879.62                  3024381.6269311598
94.96339836009436         3879.62                  3010559.2657231437
94.97450303160312         3879.62                  3008913.8146629296
94.00891258678283         3879.62                  3033679.998313328
93.94588376022254         3879.62                  3028789.4833381213
90.06069984326732         3879.62                  3090779.016419568
90.09013250988309         3879.62                  3086411.4447553945
88.6320248670179          3879.62                  3076141.2818144206
88.51908055800315         3879.62                  3067289.205061357
85.72669775101382         3879.62                  3099230.352667444
85.77643065468058         3879.62                  3088475.2384487945
60.97826152638559         3879.62                  4049894.598783283
61.02398381623923         3879.62                  4046417.527051902
65.19257036768293         3879.62                  3884915.965991609
65.12689520280692         3879.62                  3889660.8697475656
61.37379493657906         3879.62                  4025041.157120626
61.42715941580176         3879.62                  4022564.0598149914
74.4925363259957          3879.62                  3499341.958440933
74.64506045282023         3879.62                  3497034.34471652
74.39146672070001         3879.62                  3499210.322743719
74.28577199229056         3879.62                  3500036.0065863137
74.1655605429022          3879.62                  3499668.797396652
71.53959229907785         3879.62                  3528578.0999992606
71.63024169985381         3879.62                  3520944.9730924084
71.64268666061969         3879.62                  3519702.1535573816
71.65705195972089         3879.62                  3518678.5354687935
69.5317416452274          3879.62                  3694311.5057503954
69.56561816039998         3879.62                  3693204.091621503
69.44572359474452         3879.62                  3696625.4363925853
66.83149238274994         3879.62                  3751507.53883207
66.8823306665586          3879.62                  3749105.335477511
81.01699141146543         3879.62                  3201987.389029857
81.0889628197482          3879.62                  3190893.181631474
81.17062080497736         3879.62                  3176824.5620317343
81.20981612496165         3879.62                  3171713.7447619694
83.43967117856751         3879.62                  3171843.461067797
83.39921604787557         3879.62                  3168806.6717738314
83.37674190511096         3879.62                  3167846.516919967
99.2492175997526          3879.62                  3005089.4266503463
99.28120609521724         3879.62                  3005893.08474768
99.0359048319977          3879.62                  2995170.8068257547
98.95350935524789         3879.62                  2990030.5623293254
95.00011159232268         3879.62                  3004388.865012999
95.05858025162937         3879.62                  2994089.296738925
93.92602364695534         3879.62                  3027146.842625219
93.8576587428833          3879.62                  3021996.237397486
93.78919298327816         3879.62                  3016150.317161109
93.70296930178063         3879.62                  3008185.63292986
90.09867979010552         3879.62                  3085301.3483907315
90.18538986078411         3879.62                  3072369.7203195593
90.26261579438089         3879.62                  3058334.8263155953
88.50319365511247         3879.62                  3065855.6865955885
88.44185423925123         3879.62                  3061355.1690912205
88.34986260453773         3879.62                  3053663.6887410167
88.33355875723394         3879.62                  3052612.506396747
85.83057676478519         3879.62                  3077721.7017935826
85.87390931086583         3879.62                  3069527.3679161137
85.92206842828122         3879.62                  3060219.3035791423
60.930986047643344        3879.62                  4053684.361179391
60.87105302312022         3879.62                  4058528.90255508
60.84385112796451         3879.62                  4060988.209586026
64.98267611708374         3879.62                  3899433.8502845624
65.01199141581108         3879.62                  3897329.200012816
64.9191826266426          3879.62                  3903461.5930282553
61.462438704997226        3879.62                  4021448.6642571897
61.53967150573838         3879.62                  4019030.019861875
74.04619875308165         3879.62                  3499431.078389277
73.88572402111852         3879.62                  3497867.1637190287
73.79480629253575         3879.62                  3497000.821673444
73.72292808924456         3879.62                  3496693.9623635877
73.12320535346299         3879.62                  3491410.5055481466
73.26718622837357         3879.62                  3492412.583115399
72.12942056293198         3879.62                  3494401.9393803715
72.18052496805619         3879.62                  3493115.9603869156
72.2335189493258          3879.62                  3491920.8222795906
71.85062183317291         3879.62                  3505653.166404336
71.8673393004481          3879.62                  3504835.416100459
71.83446889791837         3879.62                  3506558.4091733815
72.00176310227748         3879.62                  3498669.7354898727
72.05189899383909         3879.62                  3496598.2493932154
71.94756914460856         3879.62                  3500633.212571065
71.74651245780733         3879.62                  3511828.9911124385
69.24782168920208         3879.62                  3701671.9053380024
69.36552769529415         3879.62                  3698618.0558223613
69.39271080463081         3879.62                  3698126.0419513946
67.38602968770513         3879.62                  3734825.9830191177
67.4781545680346          3879.62                  3732934.1740386877
67.27298499793385         3879.62                  3737201.0088776243
67.36043558961885         3879.62                  3735271.9596955744
66.94105244213922         3879.62                  3746949.7059960463
66.99243927694486         3879.62                  3744998.6764882426
67.03999196209499         3879.62                  3743356.5757521745
67.11772763341412         3879.62                  3741125.469770961
67.20231741758568         3879.62                  3738716.8469450297
81.26741946129309         3879.62                  3162772.086838671
81.33646527793914         3879.62                  3154259.5822464456
81.36238682618706         3879.62                  3150879.09199986
81.44380852615316         3879.62                  3141921.494928845
81.51152838751027         3879.62                  3135664.9996526907
81.59306753458075         3879.62                  3128794.8427565177
83.15948025677191         3879.62                  3155458.584263325
83.1165255580899          3879.62                  3153581.9577568686
99.30423939409569         3879.62                  3005288.64021728
99.4014467017409          3879.62                  3005337.204620678
99.43668590922769         3879.62                  3003505.975689257
98.88631023717309         3879.62                  2983870.9926185654
98.83762301995026         3879.62                  2979751.5055153547
95.15120824567175         3879.62                  2975580.700391128
95.1570503178804          3879.62                  2974170.6413330133
95.15834884795925         3879.62                  2973941.885871338
93.62030194216683         3879.62                  3000724.9964290056
93.5696710481012          3879.62                  2996087.6436468954
90.27197320443348         3879.62                  3056787.4769722405
90.3491980207152          3879.62                  3041745.251935804
88.08683777508604         3879.62                  3033848.8747197124
88.14794011405247         3879.62                  3037733.617918743
86.10586177175799         3879.62                  3027214.380693822
86.14442656905837         3879.62                  3021564.288383257
85.98813813901926         3879.62                  3047457.0149524882
86.06648391719425         3879.62                  3033820.6918723765
85.95890518174537         3879.62                  3053228.117421251
60.71806756486947         3879.62                  4071732.4057034412
60.747656648710574        3879.62                  4069219.6965921205
64.84596560636781         3879.62                  3908203.2060429812
64.77638973316604         3879.62                  3912424.747298563
64.66713253811842         3879.62                  3918958.5058993134
64.69993592425232         3879.62                  3917029.6646746765
