% Model:              NoGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 19 2014, 20:08
% Dimension:          2
% Nodes:              1858
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
49.666906633013625        2120.62                  1.5497207641601562E-6    0                        1.5497207641601562E-6    275000.00000000035
50                        2120.62                  2.1457672119140625E-6    2.384185791015625E-7     2.1589720578521293E-6    274999.99999999994
0                         2120.62                  -2.868473529815674E-7    0                        2.868473529815674E-7     275000.00000000006
11.449998265287562        2120.62                  7.450580596923828E-9     3.725290298461914E-9     8.33000234328132E-9      275000.0000000015
49.62419632089936         2120.62                  1.430511474609375E-6     -1.862645149230957E-7    1.442587102572536E-6     275000.00000000047
49.50229208401422         2120.62                  5.513429641723633E-7     1.9650906324386597E-7    5.853160480281995E-7     275000.0000000006
49.2285696711435          2120.62                  9.5367431640625E-7       2.2649765014648438E-6    2.457562461863554E-6     275000.0000000007
49.13094238797986         2120.62                  6.034970283508301E-7     1.7285346984863281E-6    1.8308579592910816E-6    275000.0000000009
48.78020162237668         2120.62                  1.5497207641601562E-6    4.76837158203125E-7      1.6214216361922555E-6    275000.0000000011
48.463871141056046        2120.62                  1.1324882507324219E-6    4.0978193283081055E-7    1.2043466571222489E-6    275000.0000000014
48.049787965769134        2120.62                  2.980232238769531E-7     5.066394805908203E-7     5.877936757599122E-7     275000.00000000163
46.933369472140384        2120.62                  -2.3096799850463867E-7   3.5762786865234375E-7    4.257275053012864E-7     275000.0000000021
47.12096271605108         2120.62                  2.980232238769531E-7     4.76837158203125E-7      5.623090941939713E-7     275000.00000000204
46.83786067427098         2120.62                  2.384185791015625E-7     1.4901161193847656E-8    2.388837865275353E-7     275000.00000000215
45.341745258445016        2120.62                  -5.9604644775390625E-8   1.4901161193847656E-7    1.6049041769309353E-7    275000.0000000021
44.80246227586759         2120.62                  -1.1920928955078125E-7   1.4901161193847656E-7    1.9082797281243946E-7    275000.00000000215
42.29021331014973         2120.62                  -5.9604644775390625E-8   6.332993507385254E-8     8.69677776838001E-8      275000.00000000215
41.64295446452273         2120.62                  4.470348358154297E-8     -3.3527612686157227E-8   5.587935447692871E-8     275000.0000000021
41.46103600275706         2120.62                  3.725290298461914E-8     -1.2665987014770508E-7   1.320246245463889E-7     275000.00000000204
37.74773923412256         2120.62                  -2.9802322387695312E-8   4.470348358154297E-8     5.3726900748371916E-8    275000.0000000022
35.64090359656513         2120.62                  3.725290298461914E-9     1.955777406692505E-8     1.9909402659565163E-8    275000.00000000215
31.710232518677476        2120.62                  -8.35862010717392E-8     -3.725290298461914E-9    8.366917471454483E-8     275000.0000000019
29.73110180356414         2120.62                  -4.470348358154297E-8    -3.725290298461914E-9    4.485843546238652E-8     275000.0000000018
25.91048247157573         2120.62                  7.450580596923828E-9     -2.8870999813079834E-8   2.9816870751943665E-8    275000.00000000163
20.307656984343744        2120.62                  3.725290298461914E-8     0                        3.725290298461914E-8     275000.0000000018
23.9512301394664          2120.62                  5.587935447692871E-8     9.313225746154785E-9     5.665014060491901E-8     275000.00000000163
15.341064605398124        2120.62                  -4.0978193283081055E-8   4.0978193283081055E-8    5.795191670247929E-8     275000.0000000017
150                       2120.62                  -2240230.8984818533      3537803.0529384986       4187443.721400178        11535.045437416733
150.144746516269          2120.62                  -2197799.2725954056      3405942.1429880112       4053487.8221110594       11856.236170708582
476.91748468347436        2120.62                  111280.77043000085       12782.872007397493       112012.55145853994       2524.1787876222443
500                       2120.62                  107428.39128905098       -9.685080130843383E-11   107428.39128905098       1.4908684188443121E-12
150.2783995810405         2120.62                  -2162564.0392188877      3294106.332247005        3940535.4651205116       12148.128889776099
150.4118756086795         2120.62                  -2130671.732399404       3194354.194268276        3839747.4851460224       12434.650918032597
150.5651915881591         2120.62                  -2086192.0224660262      3083929.5356981307       3723280.6146934694       12757.94776359673
150.682152330078          2120.62                  -2051833.1455514198      3005402.5496977093       3639019.6128782993       13000.538038155148
