% Model:              RadialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 14 2014, 12:47
% Dimension:          2
% Nodes:              259
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m)
49.917249583709875        3000                     1.9893984105208084E-7
50.00000000000001         3000                     1.8128044993574076E-7
52.00000000000001         3000                     4.769363056399438E-7
52.06554715028017         3000                     2.1347928349777906E-6
52.099999999999994        3000                     3482142.4725992233
56.800000000000004        3000                     18.42604687896903
56.86554715028014         3000                     18.426078686154852
56.900000000000006        3000                     18.42609218578741
61.60000000000001         3000                     3108463.741503627
61.665547150280155        3000                     18.280408689232374
61.7                      3000                     18.280424520490154
66.4                      3000                     3044133.6864799103
66.46554715028014         3000                     11.877928856450897
66.5                      3000                     3208833.0546758496
71.19999999999999         3000                     11.122750550710991
71.26554715028014         3000                     11.122794003614363
71.30000000000001         3000                     3148774.349819693
76.04633690404832         3000                     9.106475469060333
76.09999999999998         3000                     3095895.4347546496
76                        3000                     9.106441482055708
80.79999999999998         3000                     2915727.282490729
80.83445284971984         3000                     8.989994461387033
80.90000000000002         3000                     8.990025534216018
85.6                      3000                     2880193.594106906
85.63445284971982         3000                     6.281809448967341
85.69999999999996         3000                     6.281878369080005
90.39999999999999         3000                     6.787301826525781
90.43445284971986         3000                     6.787321776279533
90.5                      3000                     2968990.4589957
95.19999999999997         3000                     3.2317362361160007
95.23445284971983         3000                     3.231804867844754
95.29999999999995         3000                     2939582.8605130324
100.00000000000001        3000                     2801430.8362858505
100.03445284971986        3000                     2.469983805737576
100.1                     3000                     2.470128477899527
104.80000000000001        3000                     2782412.4336062195
104.83445284971984        3000                     2.591103602393378
104.89999999999996        3000                     2.5912268561444676
109.60000000000002        3000                     1.8477579624681018
109.63445284971988        3000                     1.8478549006574085
109.7                     3000                     2874696.144211221
114.4                     3000                     1.8320432431838707
114.46554715028014        3000                     1.832213441011399
114.5                     3000                     2859171.005532112
119.19999999999999        3000                     0.1758262915787201
119.26554715028014        3000                     0.1776431628380927
119.3                     3000                     0.1784482218206299
124                       3000                     2741969.5340926517
124.06554715028015        3000                     1.1972878923617585
124.10000000000002        3000                     1.197413996087523
128.8                     3000                     2734703.492719127
128.86554715028018        3000                     1.0590009593925842
128.89999999999998        3000                     1.059138534494605
133.59999999999997        3000                     0.7440102723996908
133.66554715028013        3000                     0.7443782965088747
133.70000000000002        3000                     2822141.554274856
138.39999999999998        3000                     0.24749695007067005
138.43445284971978        3000                     0.2480573642629173
138.49999999999991        3000                     0.24913410737890482
143.2                     3000                     2726100.447167916
143.23445284971984        3000                     0.1476314021233383
143.29999999999998        3000                     0.1494385045753207
148                       3000                     2728138.5668422957
148.06554715028017        3000                     0
148.10000000000005        3000                     0
150                       3000                     0
151.77337786022525        3000                     0
47.36919958062755         3000                     1.519626234052415E-7
46.48492082071462         3000                     7.394490108370486E-8
44.31991047224449         3000                     1.1691715439018022E-7
42.450480732667586        3000                     5.452812153214383E-8
40.29075689470736         3000                     4.012260442327338E-8
36.442715490769466        3000                     3.514431838712321E-8
35.94157945271444         3000                     6.322027276634104E-8
34.828377861011006        3000                     3.0549651881413025E-8
30.74099905019922         3000                     5.0215907965173607E-8
22.35505048797169         3000                     1.1641532182693481E-9
28.875870434217223        3000                     6.376669842237119E-8
0                         3000                     3.991008599496637E-8
152.3376203969441         3000                     0
153.13997084391448        3000                     0
154.7653889430046         3000                     0
155.55372434196534        3000                     0
157.7306315302476         3000                     0
159.9352968519462         3000                     0
161.18379901133844        3000                     0
163.5509433659914         3000                     0
167.7593458952996         3000                     0
169.2728662286488         3000                     0
171.15283168515234        3000                     0
174.2752193843304         3000                     0
180.05821299772154        3000                     0
180.50788855307508        3000                     0
179.47078331509806        3000                     0
498.4135635173393         3000                     0
500                       3000                     0
186.98943332942002        3000                     0
191.0656841882582         3000                     0
199.3298992587171         3000                     0
201.55499596946385        3000                     0
203.02416002616013        3000                     0
497.0691237005085         3000                     0
496.9064495735334         3000                     0
212.64858175802223        3000                     0
213.19886299433344        3000                     0
496.78608407086097        3000                     0
495.29052471751965        3000                     0
220.73910476979106        3000                     0
232.29784582926771        3000                     0
236.07135131575205        3000                     0
228.2138012672738         3000                     0
244.09227294125895        3000                     0
250.72619874665781        3000                     0
493.20136512680074        3000                     0
492.91629542914916        3000                     0
492.6835152615252         3000                     0
255.940170079073          3000                     0
270.1943679914532         3000                     0
271.49933606213614        3000                     0
267.1653950165642         3000                     0
274.836362971983          3000                     0
490.03199033617796        3000                     0
487.54387917641293        3000                     0
287.2495235954835         3000                     0
296.80103537840716        3000                     0
298.38374897526995        3000                     0
309.94264024406283        3000                     0
479.3426459523061         3000                     0
484.76905563479687        3000                     0
469.20216545546606        3000                     0
401.2955360675793         3000                     0
416.09592528128377        3000                     0
376.2089830459538         3000                     0
386.2747807522695         3000                     0
364.14942066226075        3000                     0
322.879190315975          3000                     0
330.9494554333457         3000                     0
341.4601306487207         3000                     0
352.709446740306          3000                     0
467.5883239196982         3000                     0
465.4813451971166         3000                     0
437.55448505996844        3000                     0
450.731107735425          3000                     0
426.3431833684939         3000                     0
75.90737238383858         3000                     2957843.043856432
76.17374602204107         3000                     3092899.549683143
72.02183030409817         3000                     3117481.348268799
69.59871226453507         3000                     3067195.3980945577
68.13643532357288         3000                     3133008.512966357
64.80009856022986         3000                     3120654.833097981
63.33768998050814         3000                     3192687.4429982956
60.001714701957916        3000                     3192804.6202694545
58.53914129124925         3000                     3272541.9940745016
55.20362625070308         3000                     3288166.8807063675
53.740842283896455        3000                     3377614.4248960577
51.34420068692093         3000                     2.497889789080651E-7
79.95610278870774         3000                     2946583.752291796
50.053389945093194        3000                     2.1597047210687019E-7
82.531558288217           3000                     2987773.7171846037
83.99754507558846         3000                     2935641.869197516
87.33080306266814         3000                     2953098.463289972
88.7967100751936          3000                     2904357.50976234
92.13011571205774         3000                     2916859.889792188
93.5959757047885          3000                     2871185.8713205173
96.92949679415209         3000                     2890525.0413477607
98.39530914355477         3000                     2847471.490615768
101.72892592278497        3000                     2866727.047903972
103.19471638459262        3000                     2826013.6584488153
106.52842152610502        3000                     2847317.9958421392
107.99416369740916        3000                     2808678.0364901586
111.32795105048065        3000                     2832927.515842112
112.79366326710158        3000                     2796118.9622090836
116.12751986533883        3000                     2819345.2948754113
117.5932071359128         3000                     2784208.5441706013
120.9271206918249         3000                     2811867.0008447026
122.39278916845723        3000                     2778197.761736635
126.19156166412512        3000                     2791296.1059118523
126.52156850594054        3000                     2784006.8061366472
130.42450024094455        3000                     2795450.1735623837
131.88844041953692        3000                     2764433.005643606
135.4109381113601         3000                     2786665.024005276
136.87508207283923        3000                     2756850.547682232
140.03447253979317        3000                     2787884.0449002814
141.68377641211706        3000                     2755434.390289222
145.03633491674395        3000                     2784011.2399806012
146.27873004062923        3000                     2760368.7482660622
149.0013858931718         3000                     5.716717561257199E-19
75.33142728876129         3000                     2980456.026430239
75.43099345222794         3000                     2976521.163873106
75.5473543429801          3000                     2971938.137491867
75.60339867296192         3000                     2969733.0693972344
75.26098033518267         3000                     2983245.0781267253
75.14787229217426         3000                     2987735.1439109147
75.71452393280362         3000                     2965377.202824035
75.76034750345514         3000                     2963581.9774916996
75.8159216290567          3000                     2961411.327350148
75.06615757497948         3000                     2990987.61141902
74.96108665193091         3000                     2995178.3149206857
75.87644726288121         3000                     2959047.131947884
74.7625642027964          3000                     3003127.1424871073
74.77221534064759         3000                     3002741.9370964845
74.7551817048297          3000                     3003423.227716622
74.50483048935395         3000                     3013513.0269109737
76.21103814365458         3000                     3091384.8653215882
74.22925030125387         3000                     3024698.3692814587
74.40299380255276         3000                     3017644.833311325
74.11976256184484         3000                     3029134.0263368604
76.33285318392241         3000                     3086451.475243492
76.34262442043318         3000                     3086055.513733949
76.34492339493451         3000                     3085962.640466522
73.708274481248           3000                     3046067.478077894
73.90860124263156         3000                     3037816.485842574
73.54510629077882         3000                     3052440.424001021
76.35881351998745         3000                     3085402.505660407
76.46878716223863         3000                     3080965.8108404777
76.48887834637169         3000                     3080155.881804234
72.83811530359158         3000                     3082679.6017274945
73.27374304915632         3000                     3064032.871912384
76.5453251818317          3000                     3077885.928970041
76.61719662513141         3000                     3074996.411254787
76.65669172643094         3000                     3073413.8296243837
76.75069359425721         3000                     3069647.971666692
76.85834317580405         3000                     3065349.7123768753
76.87805492379667         3000                     3064563.0631868984
77.03481349307108         3000                     3058326.3114595884
77.0555640719829          3000                     3057502.855905296
77.08927259723129         3000                     3056167.036817931
77.24504603966261         3000                     3050002.549880785
77.33011636466324         3000                     3046648.919899418
77.43607863951605         3000                     3042480.8920437447
77.52686917120889         3000                     3038914.5746020363
77.61956055149084         3000                     3035289.348876598
77.75059705078863         3000                     3030168.034625696
78.06572437477531         3000                     3017938.0121005364
78.07822992463566         3000                     3017453.3325193427
78.08551734175398         3000                     3017161.2739536725
78.46407796515432         3000                     3002595.3946413654
78.84712035470965         3000                     2988032.0644768574
78.99752822311798         3000                     2982299.9816336706
79.55921198226676         3000                     2961281.6110950857
83.25                     3000                     2961502.886989833
88.04999999999997         3000                     2928523.4003231963
92.85000000000002         3000                     2893841.594327067
97.64999999999998         3000                     2868836.1381226433
102.44999999999999        3000                     2846238.789552637
107.24999999999996        3000                     2827878.4989678743
112.05                    3000                     2814403.160990345
116.85000000000002        3000                     2801667.2109390846
121.64999999999996        3000                     2794940.037876322
126.30816070847925        3000                     2788780.797692536
126.35997344682818        3000                     2787482.1768718576
130.93954136477637        3000                     2784290.607451238
131.19335010808803        3000                     2778867.914694313
136.07860465974397        3000                     2772793.7526238984
136.3340383515994         3000                     2767732.4557365025
140.75804798988753        3000                     2773474.7811477627
141.05282194384964        3000                     2767603.2656281693
145.49187469820046        3000                     2775155.3390992116
145.70247104093156        3000                     2771146.445451295
