% Model:              AxialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 18:58
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         5500.1                   97831.04080113769        1365525.5834026337       1369025.5773619926       274815.4153467298
55.153306                 5456.45254               3180789.9931025505       -8694206.648670673       9257788.84129524         262487.15190981736
58.457288                 5412.805079              3476586.626124382        -8271053.90541625        8972011.328305839        248646.01594788057
61.916253                 5369.1576190000005       3392261.33779335         -8057081.108183384       8742081.72964158         234804.83559568058
65.534437                 5325.510159              3624629.485404253        -8351430.276423454       9104082.961420344        220962.06431936452
69.315981                 5281.862698              3226428.7721061707       -7759134.504782677       8403214.318627346        207142.24929425714
73.26492000000002         5238.215238              3083222.1516284943       -7269660.3716135025      7896468.878866073        193349.46636713925
77.38515900000002         5194.567778              2938323.816975832        -7678748.464213371       8221734.903903593        179540.51633268574
81.680461                 5150.920317              2761742.8952753544       -7680923.310564876       8162340.762451834        165763.47667252156
86.154423                 5107.272857              2726095.9247202873       -7308113.599197149       7800007.908300278        152005.54191799747
90.81046                  5063.625397              2567853.1395707196       -7288506.047614098       7727625.130174889        138255.6485254854
95.651784                 5019.977937000001        2666466.137714863        -7113120.9596892595      7596481.517831177        124522.63144125805
100.681382                4976.330476              2166692.3215883225       -7622161.053825557       7924133.6906241635       110795.15055977416
105.90200000000002        4932.683016              2516163.138477385        -7238370.044770032       7663228.9437584          97068.93848587567
111.316118                4889.035556              2267019.2699515224       -5935400.404977977       6353609.551880275        83365.4639588085
116.92593300000001        4845.388095              2279085.320926875        -7202425.91624856        7554413.873962246        69657.04761095603
122.733335                4801.740635              2085084.0644546747       -7225362.571275651       7520202.114453701        55950.60947896362
128.73988700000004        4758.093175              2257887.785933852        -5731724.4883900285      6160415.8029048005       42242.655855499834
134.946807                4714.445714000001        2186639.5703339875       -6983177.9611229         7317524.653000015        28526.616638527594
141.354942                4670.798254              2139219.72620295         -6904992.795168266       7228774.898853988        14808.84972913046
147.964756                4627.150794              2368943.3963572024       -7254940.876545916       7631910.634783483        1036.651121480883
