% Model:              AxialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 18:54
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         499.90000000000003       121735.47741889954       -4070254.811924517       4072074.8716664203       274465.80227724294
55.153306                 514.449153               3661960.728870392        4485589.727054119        5790550.196591202        261956.43430969797
58.457288                 528.998307               3408318.698413849        5513425.92666626         6481859.439913302        248153.06475568825
61.916253                 543.54746                3500694.7931013107       5701576.6992414          6690503.784602404        234347.39966653858
65.534437                 558.096614               3232318.402973175        5914591.278281674        6740198.235016882        220543.13007393994
69.315981                 572.645767               3178573.624526024        5781604.657687187        6597748.305620841        206762.76849271875
73.26492000000002         587.194921               3272518.2142192423       4889268.414055377        5883393.670924654        192980.76840765245
77.38515900000002         601.744074               2903214.497036796        6043461.730642915        6704631.541371238        179211.36866654287
81.680461                 616.293228               2656850.9557767995       6062288.153588295        6618927.002041122        165464.74795151717
86.154423                 630.842381               2585171.4634770155       6063893.397029042        6591958.330125298        151725.7469976602
90.81046                  645.3915340000001        2483176.946620524        6201818.751894981        6680473.305057348        137999.29477179848
95.651784                 659.940688               2539028.067437291        6166210.94387722         6668494.652590308        124292.64098448753
100.681382                674.489841               2406462.452031702        6058518.026469201        6518949.471355848        110590.59336278314
105.90200000000002        689.038995               2416879.789622396        6250031.958728626        6701060.170048795        96892.68691295426
111.316118                703.588148               2489709.7679976225       6598749.927114606        7052811.873959051        83217.292470894
116.92593300000001        718.137302               2561869.360664606        5463186.10010919         6034034.884348808        69536.5020400948
122.733335                732.686455               2791252.055519104        5791546.440740839        6429082.221646998        55871.83992575046
128.73988700000004        747.235608               2059578.891848743        6891687.502999581        7192859.087369188        42213.87306560835
134.946807                761.784762               2491924.6156992093       7432920.759229951        7839515.246704939        28529.80817105616
141.354942                776.333915               2534729.013751745        7492970.379603595        7910085.731695437        14878.860887666955
147.964756                790.8830690000001        2915642.68981178         8421812.698199607        8912233.24527635         1194.1351690381784
