% Model:              RadialGradingCurvedEnds.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 18:59
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         5500.01                  -772509.5656509399       1246786.1474280357       1466712.8984367212       274951.57375784253
56.8                      5279.121146              8272247.693017006        -9389408.920763731       1.251363583359939E7      260135.93907102247
61.6                      5094.116623              8873961.251377106        -8656616.600392103       1.2396943141642882E7     245037.28909677078
66.4                      4936.905218              7576778.036644936        -1.1344085917575836E7    1.3641695302341549E7     230286.7322755732
71.2                      4801.659131              6671552.47089386         -1.1556481710876465E7    1.3343982985065298E7     215784.65663398424
76                        4684.073993              6436175.347272396        -1.180501342927742E7     1.3445545551083347E7     201519.18162923947
80.8                      4580.901463              6748002.37750721         -1.142812408482933E7     1.3271682492626892E7     187451.97067858782
85.6                      4489.644004              6119241.205250502        -1.2044672606759548E7    1.3509968583681438E7     173554.39604148452
90.4                      4408.349759              6990390.139066935        -8644096.840324879       1.1116922437494956E7     159921.61539752144
95.2                      4335.471212              6801171.886875153        -1.1573924002716064E7    1.3424293495579869E7     146181.4160623475
100                       4269.765616              6890781.771612644        -1.1468910652316093E7    1.3379790169311276E7     132657.4547711337
104.80000000000001        4210.223478              7215352.227255821        -1.0500898767480373E7    1.274088625992071E7      119209.01576305239
109.60000000000001        4156.016275              7009985.274167299        -1.082350119433713E7     1.2895273228895139E7     105855.70033256848
114.4                     4106.457637              6462250.675607681        -1.1676808477430344E7    1.334573115318082E7      92566.28184991035
119.2                     4060.974108              6704765.18563962         -1.0722270800137281E7    1.264598621326315E7      79332.49095243966
124                       4019.0828419999993       6795535.702491522        -1.1624071666483104E7    1.3464707482577268E7     66139.20890705717
128.8                     3980.374386              7664602.29978919         -1.2068855976563215E7    1.4296972161858587E7     52990.073899750234
133.6                     3944.49924               6710571.585219741        -9062402.560168862       1.1276476008173553E7     39951.293244785375
138.4                     3911.1572770000002       7135115.392172575        -1.1726555944886565E7    1.372668882098565E7      26702.89149274984
143.2                     3880.089313              7032134.781157911        -1.1127571356400758E7    1.3163349264991848E7     13580.985352538528
148                       3851.070363              3854984.8854682744       -1.5917467515039362E7    1.6377627439880364E7     164.37284208350644
