% Model:              RadialGradingCurvedEnds.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 18:59
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         499.99000000000007       -1567014.2974801064      -2967382.882405281       3355725.7008431046       274894.6269095327
56.8                      720.878854               6710869.972728491        7257589.482559681        9884754.973606063        259952.8446344355
61.6                      905.883377               6380462.63956213         7969199.094671249        1.0208743199109145E7     244890.68455843392
66.4                      1063.094782              5816374.368227005        8521978.967464685        1.0317671070221156E7     230153.34181725868
71.2                      1198.340869              6066909.672483206        8637291.153469324        1.0555102625927884E7     215662.07423129675
76                        1315.926007              6090698.216609001        8837726.357962847        1.0733220017498724E7     201414.72880551335
80.8                      1419.0985370000003       5695962.010028839        7436348.199309707        9367137.116593761        187475.43502936256
85.6                      1510.3559960000002       5504077.719240546        8818065.46408254         1.0394861714726437E7     173485.6070522053
90.4                      1591.6502410000003       6066502.912469983        9518569.25523138         1.1287409722945424E7     159730.14275482463
95.2                      1664.528788              6327238.744523048        9482624.07195735         1.1399741638311747E7     146111.33372281492
100                       1730.234384              7296285.769690752        8427815.813541412        1.1147370336539935E7     132587.94730903793
104.80000000000001        1789.776522              6072592.202396452        9806766.67326355         1.1534688926903872E7     119180.40460710775
109.60000000000001        1843.9837250000003       7348667.163022876        8797471.533416033        1.1462914745131629E7     105810.46786061673
114.4                     1893.542363              6003702.985579491        1.0530995097392663E7     1.2122141200314589E7     92545.70249636172
119.2                     1939.025892              6684627.492436647        1.0365162321593761E7     1.2333727525189893E7     79298.34505208566
124                       1980.917158              6308715.391803399        1.0304136972715378E7     1.2082016745860647E7     66116.33085785586
128.8                     2019.6256140000003       7068956.37185663         1.0280415293230534E7     1.2476260769497434E7     52944.01548185612
133.6                     2055.5007600000004       7333711.642011501        8699978.447334886        1.1378618168840475E7     39925.87802032941
138.4                     2088.842723              7086143.515520632        1.082474264542529E7      1.2937870120782787E7     26678.74925126825
143.2                     2119.910687              7671775.800734878        1.0938082894060284E7     1.3360306932629785E7     13569.630350909894
148                       2148.929637              6764943.5385065405       1.310748469645758E7      1.4750275121063033E7     437.0832206135868
