% Model:              RadialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 18:57
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         499.99000000000007       -1159514.823328495       -4186498.766443491       4344104.803863666        274956.9010440489
56.8                      720.878854               5013884.771970749        1.2519787828001022E7     1.3486442368718399E7     259776.65769254495
61.6                      905.883377               5098346.869996071        1.1865736455983639E7     1.2914675468228301E7     244694.23385980708
66.4                      1063.094782              4787279.691966534        1.20852428885535E7       1.2998890049709942E7     229943.13289273347
71.2                      1198.340869              4014731.8121213913       1.3151881489449501E7     1.375100208114972E7      215472.4531849556
76                        1315.926007              3687539.069013357        1.2578380429851413E7     1.3107768636330476E7     201210.3822670005
80.8                      1419.0985370000003       2681693.9668388367       1.2248437321493506E7     1.253856847292923E7      187146.84819259975
85.6                      1510.3559960000002       5783844.923965216        1.3696853458638906E7     1.4867974198656209E7     173271.36022554094
90.4                      1591.6502410000003       2372003.8587527275       1.2302688800429463E7     1.2529267896655032E7     159504.99146757432
95.2                      1664.528788              3334281.081879616        1.2969381019593894E7     1.3391126702573711E7     145885.56850301474
100                       1730.234384              4716338.422199249        1.4158341208619952E7     1.4923219287151776E7     132377.57876211902
104.80000000000001        1789.776522              2586782.501375675        1.3210571551974177E7     1.3461450309652852E7     118933.48946342747
109.60000000000001        1843.9837250000003       2987910.4981529713       1.4056377890978992E7     1.4370433833359929E7     105586.55446831293
114.4                     1893.542363              4731509.975069761        1.5663239370627701E7     1.6362281449289592E7     92314.37708993797
119.2                     1939.025892              3347075.464077413        1.4556699435405493E7     1.4936546207706908E7     79058.46856817928
124                       1980.917158              5181668.951173902        1.421534566735828E7      1.5130292315816024E7     65840.81938147561
128.8                     2019.6256140000003       0.10915097128599882      37.057388722896576       37.05754947233283        52589.88631914352
133.6                     2055.5007600000004       3278450.883384943        1.470239582340622E7      1.5063488412146775E7     39575.513134582005
138.4                     2088.842723              6076780.6454490125       1.5705742260054708E7     1.6840356378419433E7     26453.13214693593
143.2                     2119.910687              3817196.640114546        1.559851764961657E7      1.605879021142942E7      13319.03051649881
148                       2148.929637              4276732.349112617        1.5849476054121174E7     1.6416343404549833E7     163.29852208735636
