% Model:              RadialGradingFinal.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 18:57
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         5500.01                  -204889.2244131565       1840173.9847676754       1851545.2704420623       274981.19452920055
56.8                      5279.121146              5240069.782048941        -1.4423745029476643E7    1.5346098917838845E7     259885.54111197058
61.6                      5094.116623              5028778.26647234         -1.5387353355851173E7    1.6188244319603313E7     244805.70587412955
66.4                      4936.905218              5017916.1665530205       -1.5768472070123315E7    1.6547634093150998E7     230037.17950650543
71.2                      4801.659131              3433195.8660612106       -1.49807289737643E7      1.5369094782716416E7     215530.48711800712
76                        4684.073993              5658466.47187829         -1.6425137277368307E7    1.7372489096089963E7     201283.94716780732
80.8                      4580.901463              4259629.139413595        -1.479639404498303E7     1.5397328246801477E7     187196.5303606962
85.6                      4489.644004              4877795.704510927        -1.4539242496176958E7    1.5335659858564392E7     173295.49719433227
90.4                      4408.349759              3893214.4439697266       -1.4820316411163092E7    1.5323149063874716E7     159545.26810386693
95.2                      4335.471212              2710215.929608822        -1.3965968832649559E7    1.422650891187449E7      145905.5152472034
100                       4269.765616              3532412.0897300243       -1.4627740207289577E7    1.504821314122135E7      132389.08384139003
104.80000000000001        4210.223478              7510397.906528711        -1.5384411338375747E7    1.7119760189404964E7     118963.83074074317
109.60000000000001        4156.016275              3386611.8617248535       -1.4592790657707572E7    1.4980610103785923E7     105596.19874241154
114.4                     4106.457637              5161434.63509202         -1.5137811733373463E7    1.5993553437788201E7     92308.63300140883
119.2                     4060.974108              4964518.003694534        -1.542518557424444E7     1.6204406468886353E7     79072.88868966865
124                       4019.0828419999993       2935067.3171207905       -1.5023584203031749E7    1.5307602766652122E7     65901.77026175256
128.8                     3980.374386              272038.3716860227        -67166.03300866485       280207.33691269346       64420.79307817737
133.6                     3944.49924               7126445.7880215645       -1.7812677561695516E7    1.918535148196512E7      39609.960684635655
138.4                     3911.1572770000002       5420847.93598184         -1.6350659798493087E7    1.7225843032812547E7     26460.933521567382
143.2                     3880.089313              5292669.469026998        -1.656773504596065E7     1.739259022289444E7      13330.811072240154
148                       3851.070363              9310048.350780182        -1.729008712226391E7     1.963731430184232E7      181.36111956192315
