% Model:              RadialGradingSemiEnds.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 19:05
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         5500.11                  -268507.5540943146       1293559.1005535126       1321132.6402865548       274883.2267142168
56.8                      5279.221146              4663939.14819926         -8768175.390964508       9931426.28552522         260583.9286943722
61.6                      5094.216623              4900795.592353225        -8633924.20604992        9927862.037409842        245497.41345914858
66.4                      4937.005218              5174659.951201379        -8614272.492432594       1.0049019662855094E7     230729.67235637197
71.2                      4801.759131              4282523.912962168        -7898973.998963356       8985199.012898488        216265.854132301
76                        4684.173993000001        4315317.462926865        -8735696.305357933       9743426.232352035        201955.44156129725
80.8                      4581.001463              4463780.789420128        -8438818.379989624       9546674.530245958        187880.29009373416
85.6                      4489.744004              4638008.774260521        -8872916.273264885       1.0011981251604818E7     173987.71471176913
90.4                      4408.449759              4367663.866316795        -8304941.578672409       9383418.474857185        160247.47983455838
95.2                      4335.571212              4342325.425897598        -7807018.405884743       8933382.701654503        146648.7524043853
100                       4269.865616              4201209.907780647        -7917607.348582268       8963184.189536562        133135.77094571694
104.80000000000001        4210.323478              4446642.34472847         -9078705.34701252        1.0109179933100708E7     119663.62297476092
109.60000000000001        4156.116275              4183088.4863824844       -7803514.819081336       8853986.267017119        106343.31610138815
114.4                     4106.557637              4462952.277985096        -8403040.037595749       9514674.188274106        93017.80760012721
119.2                     4061.074108              4551388.092579842        -8967978.987531185       1.0056827565891663E7     79776.34886124005
124                       4019.182842              4120854.9017002657       -8108641.4695929885      9095686.42837198         66634.53767642987
128.8                     3980.474386              4239418.223925471        -7941767.769543171       9002463.117542116        53465.08910367256
133.6                     3944.59924               4777174.318904877        -8954150.8039608         1.0148803431600995E7     40297.316624928375
138.4                     3911.257277              5089546.160885453        -9005112.102388263       1.034386407975102E7      27171.62910326697
143.2                     3880.189313              4329006.983094454        -8461039.574724197       9504182.876225056        14097.546771192774
148                       3851.170363              4671433.601032369        -9299079.455872705       1.0406496558183646E7     921.0329563077748
