% Model:              RadialGradingSemiEnds.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 19:06
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         499.99000000000007       -1977387.2134456635      -4730909.984018803       5127530.542940451        274949.7418995267
56.8                      720.878854               4356739.970650196        6341741.807283342        7694080.342841921        260313.68609876418
61.6                      905.883377               3959847.457933426        6519179.432867289        7627587.5850770585       245256.41309954948
66.4                      1063.094782              3836477.116800308        6669882.438786268        7694536.270299976        230513.86208505087
71.2                      1198.340869              3928089.2511701584       6733518.588241577        7795521.646647733        216042.1289907631
76                        1315.926007              3900958.9075055122       6828765.306037664        7864446.325266025        201799.45122062895
80.8                      1419.0985370000003       3968463.181464672        6970045.169254303        8020612.799785684        187752.5864821621
85.6                      1510.3559960000002       3971394.743687153        7023578.730597258        8068620.352642955        173871.69709643247
90.4                      1591.6502410000003       3941985.6318347454       7165041.523376584        8177840.2254692055       160135.53118740037
95.2                      1664.528788              3994431.6638007164       7259111.597015381        8285540.748478457        146520.0419293719
100                       1730.234384              4022633.993320942        7327207.663424015        8358801.133366005        133011.05142401764
104.80000000000001        1789.776522              4045705.5206872225       7514868.405935407        8534692.748930406        119591.06650930499
109.60000000000001        1843.9837250000003       4050676.6369764805       7683929.900704324        8686239.689087855        106247.22736624615
114.4                     1893.542363              4185712.0134072304       7724871.102621317        8786001.286779754        92965.81633900812
119.2                     1939.025892              4441401.771939784        7871803.952880621        9038326.569248138        79739.2829673862
124                       1980.917158              4122805.3127872944       7994285.278060675        8994782.974267071        66553.85818150468
128.8                     2019.6256140000003       4365999.967858195        8232121.7475155          9318250.060244972        53404.544167323285
133.6                     2055.5007600000004       4406676.171805501        8365907.15829733         9455537.925703058        40277.070382417245
138.4                     2088.842723              4339483.484591931        8588262.217248797        9622336.765322099        27166.33047526606
143.2                     2119.910687              4274111.231376961        8804086.556997418        9786724.013748694        14064.000236770318
148                       2148.929637              4447341.5302233705       1.871904312785106E7      1.9240099332092796E7     199.98537307988073
