% Model:              RadialGradingSemiEndsTorroid.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 20:23
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         5500.11                  20446.920150458813       652216.6202650666        652537.0459166479        274895.50482683466
56.8                      5279.221146              1560428.1307696104       -4113758.463776231       4399766.431253791        260453.5502096715
61.6                      5094.216623              1548217.6388515234       -4139463.698107183       4419517.7978143925       245366.25629229998
66.4                      4937.005218              1522288.9758549333       -4112892.6555035114      4385572.9068964515       230589.281505759
71.2                      4801.759131              1501656.1015215516       -4097982.1549878716      4364450.571359005        216088.65139504094
76                        4684.173993000001        1484281.2261037827       -4090214.575660467       4351200.527797988        201822.3074354066
80.8                      4581.001463              1468312.9467517734       -4089309.176560521       4344927.208953098        187755.45629297232
85.6                      4489.744004              1455979.0844741464       -4093487.2304382324      4344710.899494585        173858.48743172086
90.4                      4408.449759              1444759.0146398544       -4103029.2673797607      4349962.962986928        160106.55548271627
95.2                      4335.571212              1436610.9222037792       -4114567.1506030858      4358154.859412087        146478.95831867715
100                       4269.865616              1430804.4820538461       -4127721.796628475       4368671.2735369755       132957.7923722696
104.80000000000001        4210.323478              1423831.9036453366       -4143985.605542958       4381770.645388179        119527.17459083797
109.60000000000001        4156.116275              1418942.444319278        -4165638.8542030454      4400675.4849610105       106172.81710569048
114.4                     4106.557637              1419188.8937461972       -4187991.17894727        4421918.95347175         92883.19102328848
119.2                     4061.074108              1417349.0666107833       -4216367.23533462        4448216.613411015        79646.09142036227
124                       4019.182842              1416123.271604225        -4247156.282804266       4477023.744737434        66452.59560488716
128.8                     3980.474386              1415995.3656207472       -4281706.306388646       4509772.917745165        53292.108969467954
133.6                     3944.59924               1419364.8550096154       -4324317.121051736       4551298.183492007        40155.70773245197
138.4                     3911.257277              1422714.5696843788       -4375180.610710315       4600687.135975201        27034.175624408388
143.2                     3880.189313              1431714.5567048192       -4459480.224492937       4683670.616570304        13918.265460571807
148                       3851.170363              -255046.73122694157      -3384024.409554297       3393621.9647404533       293.690645460068
