% Model:              RadialGradingSemiEndsTorroid.mph
% Version:            COMSOL 4.3.2.164
% Date:               Mar 24 2014, 20:24
% Dimension:          2
% Nodes:              21
% Expressions:        4
% Description:        Electric field, r component, Electric field, z component, Electric field norm, Electric potential
% Length unit:        mm
% r                       z                        es.Er (V/m)              es.Ez (V/m)              es.normE (V/m)           V (V)
52.00000000000001         499.99000000000007       -49479.17657518387       -145651.9088163376       153826.74493208565       274998.39698379626
56.8                      720.878854               2323354.5392506123       8274011.632130384        8594023.784216875        259734.0088694675
61.6                      905.883377               2358213.5384893417       8461315.926872253        8783794.072464159        244662.2672338764
66.4                      1063.094782              2375020.5649974346       8579635.857671976        8902296.003526926        229910.6707960679
71.2                      1198.340869              2393055.3041579723       8703316.665286303        9026318.998628892        215429.0518876881
76                        1315.926007              2419491.76765275         8839888.851197243        9165019.111560037        201176.43728204368
80.8                      1419.0985370000003       2429986.154876232        8952035.644742966        9275978.37953705         187118.86899410252
85.6                      1510.3559960000002       2471710.519068718        9112365.093247175        9441639.18409852         173228.9178786945
90.4                      1591.6502410000003       2497021.645721197        9244110.215553045        9575421.180109644        159481.69166169188
95.2                      1664.528788              2511643.619222164        9359756.440238714        9690892.337167382        145856.9144790908
100                       1730.234384              2545482.909751892        9504958.116251111        9839904.06637823         132337.34543603795
104.80000000000001        1789.776522              2572066.859545231        9640259.121621966        9977480.837465256        118907.07396332087
109.60000000000001        1843.9837250000003       2602752.15784204         9780851.650302052        1.012123400581015E7      105552.62002602493
114.4                     1893.542363              2632509.2543826103       9923030.02607584         1.0266286079825206E7     92261.68639740894
119.2                     1939.025892              2665800.90671134         1.007751428492117E7      1.0424144503843624E7     79023.24680853388
124                       1980.917158              2691511.178288579        1.0224843756620944E7     1.0573157630063152E7     65826.75894789706
128.8                     2019.6256140000003       2731782.958620727        1.0403570318421602E7     1.0756249974008301E7     52662.95311294093
133.6                     2055.5007600000004       2781988.3259273767       1.061386960883367E7      1.09724057124643E7       39522.28676198724
138.4                     2088.842723              2833837.039455712        1.0848847885872215E7     1.1212855694112234E7     26394.96604036229
143.2                     2119.910687              2901553.4394432753       1.116687446771361E7      1.153768164492413E7      13269.690317392397
148                       2148.929637              639305.7189577398        1155794.7659661267       1320822.979557354        13.039380575504609
